4,"Birmingham, AL",2,1.19,6.48,2017-05-15..2018-05-14
8,"Dothan, AL",1,0.11,4.45,2017-05-15..2018-05-14
12,"Huntsville, AL",1,0.49,6.8,2017-05-15..2018-05-14
16,"Mobile, AL",1,0.19,4.45,2017-05-15..2018-05-14
20,"Montgomery, AL",1,0.34,6.8,2017-05-15..2018-05-14
22,"Alaska, All Points",4,5.32,7.01,2017-05-15..2018-05-14
24,"Flagstaff, AZ",3,0.49,3.63,2017-05-15..2018-05-14
28,"Phoenix, AZ",2,0.77,3.69,2017-05-15..2018-05-14
32,"Tucson, AZ",2,0.96,3.71,2017-05-15..2018-05-14
36,"Yuma, AZ",2,0.63,3.59,2017-05-15..2018-05-14
40,"Ft. Smith/Fayetteville, AR",2,0.36,4.75,2017-05-15..2018-05-14
44,"Jonesboro, AR",3,0.17,6.88,2017-05-15..2018-05-14
48,"Little Rock, AR",3,0.25,4.56,2017-05-15..2018-05-14
52,"Fresno, CA",3,0.83,3.8,2017-05-15..2018-05-14
56,"Los Angeles, CA",3,2.63,7.59,2017-05-15..2018-05-14
57,"Los Angeles, CA Metro",3,2.6,10.38,2017-05-15..2018-05-14
60,"Monterey, CA",3,1.9,3.51,2017-05-15..2018-05-14
64,"Redding, CA",3,1.15,3.63,2017-05-15..2018-05-14
68,"Sacramento, CA",3,1.43,4.42,2017-05-15..2018-05-14
72,"San Bernadino, CA",3,1.06,4.33,2017-05-15..2018-05-14
76,"San Diego, CA",3,2.92,4.07,2017-05-15..2018-05-14
77,"San Diego, CA Metro",3,3.05,7.4,2017-05-15..2018-05-14
80,"San Francisco, CA",3,2.57,4.79,2017-05-15..2018-05-14
81,"San Francisco, CA Metro",3,2.63,7.65,2017-05-15..2018-05-14
84,"Yuba City, CA",2,1.07,3.63,2017-05-15..2018-05-14
140,"Colorado Springs, CO",2,0.8,3.62,2017-05-15..2018-05-14
144,"Denver, CO",3,1.59,5.27,2017-05-15..2018-05-14
145,"Denver, CO Metro",3,1.71,8.55,2017-05-15..2018-05-14
148,"Glenwood Springs, CO",2,1.54,3.66,2017-05-15..2018-05-14
152,"Grand Junction, CO",2,0.32,3.74,2017-05-15..2018-05-14
156,"Gunnison, CO",2,1.38,3.74,2017-05-15..2018-05-14
160,"Hartford, CT",3,1.33,5.47,2017-05-15..2018-05-14
164,"Dover, DE",2,0.75,4.28,2017-05-15..2018-05-14
168,"Washington, DC",3,2.13,6.21,2017-05-15..2018-05-14
169,"Washington, DC Metro",3,2.23,9.82,2017-05-15..2018-05-14
172,"Ft. Myers, FL",1,0.42,3.59,2017-05-15..2018-05-14
176,"Jacksonville, FL",2,0.4,4.13,2017-05-15..2018-05-14
180,"Miami, FL",2,0.69,3.2,2017-05-15..2018-05-14
181,"Miami, FL Metro",2,1.27,6.51,2017-05-15..2018-05-14
184,"Orlando, FL",2,0.58,3.54,2017-05-15..2018-05-14
185,"Orlando, FL Metro",2,0.63,6.33,2017-05-15..2018-05-14
188,"Pensacola, FL",1,0.7,3.45,2017-05-15..2018-05-14
192,"Tallahassee, FL",2,0.42,3.62,2017-05-15..2018-05-14
196,"Tampa, FL",1,0.49,3.16,2017-05-15..2018-05-14
197,"Tampa, FL Metro",1,0.69,6.63,2017-05-15..2018-05-14
200,"Albany, GA",1,0.12,3.59,2017-05-15..2018-05-14
204,"Atlanta, GA",2,1.09,4.88,2017-05-15..2018-05-14
205,"Atlanta, GA Metro",2,1.17,7.82,2017-05-15..2018-05-14
208,"Augusta, GA",2,0.16,4.49,2017-05-15..2018-05-14
212,"Columbus, GA",1,0.09,3.9,2017-05-15..2018-05-14
216,"Savannah, GA",2,0.68,4.09,2017-05-15..2018-05-14
236,"Boise, ID",2,1.17,3.4,2017-05-15..2018-05-14
240,"Pocatello, ID",2,0.87,3.59,2017-05-15..2018-05-14
244,"Twin Falls, ID",2,0.59,3.63,2017-05-15..2018-05-14
