zip3,basepoint_city,state,service_area,rate_area,region,mileage_t,mileage_i
10,South Hadley,MA,384,14,9,D,887
11,Springfield,MA,388,14,9,D,890
12,Pittsfield,MA,388,14,9,C,738
13,Greenfield,MA,384,14,9,B,377
14,Fitchburg,MA,384,14,9,B,312
15,Worcester,MA,384,14,9,D,1075
16,Worcester,MA,384,14,9,D,1075
17,Wayland,MA,384,14,9,D,1031
18,Shawsheen Village,MA,384,14,9,D,861
19,Topsfield,MA,384,14,9,D,962
20,Dedham,MA,384,14,9,A,231
21,Boston,MA,385,14,9,A,99
22,Boston,MA,385,14,9,A,99
23,Elmwood,MA,384,14,9,B,281
24,Brockton,MA,384,14,9,A,110
25,Buzzards Bay,MA,684,14,9,A,129
26,West Yarmouth,MA,684,14,9,D,1045
27,Fall River,MA,384,14,9,B,300
28,West Warwick,RI,684,15,9,D,1044
29,Providence,RI,684,15,9,C,767
30,Manchester,NH,384,12,9,C,557
31,Manchester,NH,384,12,9,C,557
32,Ashland,NH,384,12,9,A,41
33,Concord,NH,372,12,9,A,200
34,Keene,NH,384,12,9,B,472
35,Groveton,NH,508,12,9,B,382
36,Alstead,NH,372,12,9,A,19
37,Lebanon,NH,372,12,9,B,519
38,Sanbornville,NH,384,12,9,D,832
39,South Berwick,ME,372,11,9,D,885
40,Standish,ME,372,11,9,D,921
41,Portland,ME,372,11,9,C,753
42,Bryant Pond,ME,372,11,9,A,119
43,Augta,ME,364,11,9,A,47
44,Milo,ME,368,11,9,C,593
45,Wiscasset,ME,364,11,9,D,1067
46,Harrington,ME,368,11,9,B,393
47,Presque Isle,ME,376,11,9,C,761
48,Rockland,ME,364,11,9,D,803
49,Solon,ME,368,11,9,D,880
50,Sharon,VT,804,13,9,D,859
51,Chester,VT,804,13,9,A,169
52,Arlington,VT,804,13,9,A,37
53,Townshend,VT,804,13,9,D,966
54,Essex Junction,VT,808,13,9,B,289
55,Shawsheen Village,MA,384,14,9,D,861
56,Montpelier,VT,808,13,9,C,620
57,Rutland,VT,804,13,9,D,809
58,West Burke,VT,804,13,9,D,1039
59,Colebrook,NH,508,12,9,A,192
60,North Bloomfield,CT,160,16,9,C,676
61,Hartford,CT,160,16,9,B,396
62,Phoenixville,CT,160,16,9,C,731
63,Norwich,CT,544,16,9,C,684
64,Wallingford,CT,160,16,9,D,1019
65,New Haven,CT,160,16,9,C,654
66,Bridgeport,CT,544,16,9,A,107
67,Woodville,CT,160,16,9,D,1072
68,Georgetown,CT,544,16,9,B,351
69,Stamford,CT,544,16,9,D,920
70,Newark,NJ,544,19,9,C,662
71,Newark,NJ,544,19,9,C,662
72,Elizabeth,NJ,544,19,9,B,274
73,Jersey City,NJ,544,19,9,B,451
74,Oakland,NJ,544,19,9,C,685
75,Paterson,NJ,544,19,9,C,718
76,Param,NJ,544,19,9,C,712
77,Eatontown,NJ,544,19,9,B,265
78,Netcong,NJ,544,19,9,C,649
79,Madisonville,NJ,544,19,9,C,553
80,West Berlin,NJ,672,19,9,D,1038
81,Camden,NJ,672,19,9,A,135
82,Seaville,NJ,672,19,9,D,850
83,Millville,NJ,672,19,9,C,592
84,Atlantic City,NJ,512,19,9,A,45
85,Trenton,NJ,544,19,9,D,971
86,Trenton,NJ,544,19,9,D,971
87,Beachwood,NJ,544,19,9,A,67
88,Somerville,NJ,544,19,9,D,882
89,New Brunswick,NJ,544,19,9,C,651
100,Long Island City,NY,545,17,9,C,539
101,Long Island City,NY,545,17,9,C,539
102,Long Island City,NY,545,17,9,C,539
103,Travis,NY,544,17,9,D,969
104,Bronx Park,NY,545,17,9,A,114
105,Mt Kisco,NY,544,17,9,C,632
106,White Plains,NY,544,17,9,D,1051
107,Yonkers,NY,544,17,9,D,1083
108,New Rochelle,NY,544,17,9,C,661
109,Chester,NY,544,17,9,A,167
110,Kew Gardens,NY,545,17,9,B,477
111,Long Island City,NY,545,17,9,C,539
112,Long Island City,NY,545,17,9,C,539
113,Flhing,NY,545,17,9,B,317
114,Kew Gardens,NY,545,17,9,B,477
115,Hempstead,NY,544,17,9,B,405
116,Valley Stream,NY,544,17,9,D,995
117,Farmingdale,NY,544,17,9,B,304
118,Hicksville,NY,544,17,9,B,407
119,Riverhead,NY,544,17,9,C,793
120,Schenectady,NY,536,17,9,D,845
121,Schenectady,NY,536,17,9,D,845
122,Albany,NY,536,17,9,A,8
123,Schenectady,NY,536,17,9,D,845
124,Phoenicia,NY,536,17,9,C,729
125,South Millbrook,NY,544,17,9,D,888
126,Poughkeepsie,NY,544,17,9,C,758
127,Monticello,NY,544,17,9,C,618
128,Warrensburg,NY,556,17,9,D,1021
129,Loon Lake Junction,NY,548,17,9,C,541
130,Syrace,NY,552,17,9,D,944
131,Syrace,NY,552,17,9,D,944
132,Syrace,NY,552,17,9,D,944
133,Poland,NY,556,17,9,C,742
134,Poland,NY,556,17,9,C,742
135,Utica,NY,556,17,9,D,987
